0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:32 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:32 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16788
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:40 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 13345
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:44 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:45 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16788
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:50 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:50 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15036
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:33:11 +0530] "POST /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15337
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:33:18 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16821
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:33:30 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14912
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:33:50 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15338
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:33:50 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:34:28 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 18441
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:35:59 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16821
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:37:33 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 15327
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:37:41 +0530] "GET /project_3/ctl/CollegeCtl?id=6 HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:37:58 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14016
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:38:09 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14184
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:38:32 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 15327
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:38:37 +0530] "GET /project_3/ctl/CollegeCtl?id=6 HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:38:41 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14190
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:38:50 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14188
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:38:57 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14191
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:39:04 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 15328
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:39:19 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 18264
